index,RSI
2024-01-08,44.4898
2024-01-05,44.7408
2024-01-04,45.9226
2024-01-03,46.2431
2024-01-02,46.3294
2023-12-29,47.6148
2023-12-28,47.6730
2023-12-27,48.5137
2023-12-26,48.2600
2023-12-22,46.8193
2023-12-21,46.8569
2023-12-20,47.3758
2023-12-19,47.3299
2023-12-18,47.0393
2023-12-15,47.0433
2023-12-14,46.2228
2023-12-13,42.7700
2023-12-12,42.0602
2023-12-11,41.4167
2023-12-08,42.3267
2023-12-07,40.3230
2023-12-06,39.3280
2023-12-05,38.9847
2023-12-04,40.3311
2023-12-01,39.2074
2023-11-30,40.0031
2023-11-29,40.4072
2023-11-28,39.0731
2023-11-27,39.7614
2023-11-24,39.7185
2023-11-22,39.8736
2023-11-21,40.3207
2023-11-20,40.0287
2023-11-17,39.3694
2023-11-16,39.3183
2023-11-15,39.7086
2023-11-14,37.5425
2023-11-13,36.4384
2023-11-10,36.4599
2023-11-09,37.2650
2023-11-08,37.5189
2023-11-07,36.8413
2023-11-06,37.7814
2023-11-03,38.2097
2023-11-02,35.8955
2023-11-01,36.9425
2023-10-31,37.0821
2023-10-30,38.5854
2023-10-27,38.7161
2023-10-26,38.6126
2023-10-25,38.5130
2023-10-24,38.6712
2023-10-23,38.5620
2023-10-20,39.5661
2023-10-19,40.8160
2023-10-18,43.1118
2023-10-17,43.5855
2023-10-16,43.5261
2023-10-13,44.6097
2023-10-12,45.1673
2023-10-11,42.1098
2023-10-10,41.2693
2023-10-09,41.0869
2023-10-06,40.2300
2023-10-05,40.6688
2023-10-04,40.7288
2023-10-03,41.1447
2023-10-02,42.7618
2023-09-29,43.8329
2023-09-28,41.0805
2023-09-27,41.2845
2023-09-26,41.1318
2023-09-25,41.4639
2023-09-22,42.4977
2023-09-21,42.5611
2023-09-20,43.9596
2023-09-19,44.1872
2023-09-18,44.5773
2023-09-15,44.7548
2023-09-14,45.0930
2023-09-13,44.8136
2023-09-12,44.9385
2023-09-11,44.9921
2023-09-08,45.1244
2023-09-07,45.0481
2023-09-06,47.5309
2023-09-05,47.4874
2023-09-01,47.5649
2023-08-31,47.3498
2023-08-30,46.8732
2023-08-29,45.5327
2023-08-28,45.2934
2023-08-25,45.3830
2023-08-24,45.7252
2023-08-23,45.0217
2023-08-22,45.2248
2023-08-21,44.4740
2023-08-18,43.4272
2023-08-17,43.5033
2023-08-16,43.6446
2023-08-15,43.7479
2023-08-14,44.0341
2023-08-11,44.8776
2023-08-10,45.6870
2023-08-09,45.8350
2023-08-08,45.3606
2023-08-07,46.3216
2023-08-04,46.4379
2023-08-03,48.6206
2023-08-02,46.9952
2023-08-01,47.7352
2023-07-31,47.3866
2023-07-28,47.7533
2023-07-27,47.8500
2023-07-26,47.9359
2023-07-25,48.1200
2023-07-24,48.3196
2023-07-21,49.3945
2023-07-20,50.9025
2023-07-19,52.0858
2023-07-18,52.2582
2023-07-17,51.6522
2023-07-14,52.9032
2023-07-13,53.6856
2023-07-12,52.7718
2023-07-11,53.5492
2023-07-10,52.4775
2023-07-07,50.8009
2023-07-06,50.5525
2023-07-05,51.0056
2023-07-03,50.3721
2023-06-30,49.5632
2023-06-29,49.2094
2023-06-28,50.5575
2023-06-27,50.4488
2023-06-26,49.9796
2023-06-23,49.9544
2023-06-22,51.0772
2023-06-21,51.2741
2023-06-20,51.0584
2023-06-16,51.4957
2023-06-15,50.5843
2023-06-14,51.4636
2023-06-13,49.8819
2023-06-12,49.7771
2023-06-09,49.7589
2023-06-08,49.5715
2023-06-07,48.8375
2023-06-06,47.3091
2023-06-05,48.0729
2023-06-02,47.1111
2023-06-01,45.5108
2023-05-31,46.4332
2023-05-30,47.1180
2023-05-26,47.6267
2023-05-25,48.0868
2023-05-24,48.4884
2023-05-23,47.2667
2023-05-22,47.7021
2023-05-19,47.5479
2023-05-18,48.0453
2023-05-17,46.9819
2023-05-16,46.5429
2023-05-15,46.2950
2023-05-12,45.9767
2023-05-11,46.0877
2023-05-10,45.9968
2023-05-09,44.2794
2023-05-08,43.7359
2023-05-05,43.0223
2023-05-04,42.0046
2023-05-03,42.8771
2023-05-02,42.0671
2023-05-01,43.5163
2023-04-28,43.1638
2023-04-27,42.6190
2023-04-26,41.9336
2023-04-25,42.2102
2023-04-24,41.9948
2023-04-21,43.1335
2023-04-20,44.3054
2023-04-19,44.8007
2023-04-18,45.6881
2023-04-17,45.0002
2023-04-14,44.9365
2023-04-13,44.7315
2023-04-12,45.0447
2023-04-11,44.3912
2023-04-10,43.3940
2023-04-06,43.4736
2023-04-05,44.1213
2023-04-04,45.9838
2023-04-03,46.5008
2023-03-31,46.7435
2023-03-30,47.4007
2023-03-29,46.6316
2023-03-28,46.5366
2023-03-27,46.3553
2023-03-24,45.1999
2023-03-23,45.9023
2023-03-22,46.4557
2023-03-21,45.8133
2023-03-20,44.4745
2023-03-17,44.9680
2023-03-16,44.8989
2023-03-15,45.4403
2023-03-14,46.6327
2023-03-13,45.5054
2023-03-10,47.2163
2023-03-09,49.4152
2023-03-08,48.8951
2023-03-07,49.5917
2023-03-06,50.3274
2023-03-03,49.1932
2023-03-02,48.5349
2023-03-01,49.6826
2023-02-28,49.9334
2023-02-27,49.3979
2023-02-24,48.8315
2023-02-23,48.9730
2023-02-22,48.0805
2023-02-21,49.7262
2023-02-17,52.6743
2023-02-16,52.3805
2023-02-15,51.3392
2023-02-14,51.2193
2023-02-13,51.3713
2023-02-10,50.9493
2023-02-09,51.7263
2023-02-08,52.6429
2023-02-07,52.5732
2023-02-06,53.7556
2023-02-03,54.0304
2023-02-02,54.0673
2023-02-01,53.1036
2023-01-31,52.2063
2023-01-30,52.7812
2023-01-27,53.3422
2023-01-26,52.9413
2023-01-25,51.3953
2023-01-24,52.1182
2023-01-23,49.6439
2023-01-20,48.6082
2023-01-19,48.7076
2023-01-18,49.1194
2023-01-17,48.8596
2023-01-13,47.9187
2023-01-12,48.1574
2023-01-11,46.9272
2023-01-10,46.5485
2023-01-09,46.4635
2023-01-06,45.8722
2023-01-05,46.1162
2023-01-04,45.7202
2023-01-03,45.7254
2022-12-30,45.2345
2022-12-29,45.5101
2022-12-28,44.9753
2022-12-27,46.1671
2022-12-23,46.0710
2022-12-22,46.5408
2022-12-21,47.0624
2022-12-20,46.5858
2022-12-19,47.8693
2022-12-16,47.4147
2022-12-15,47.6184
2022-12-14,49.6325
2022-12-13,50.5432
2022-12-12,48.7238
2022-12-09,49.2208
2022-12-08,49.9494
2022-12-07,49.6283
2022-12-06,50.3493
2022-12-05,51.9082
2022-12-02,51.0912
2022-12-01,51.8318
2022-11-30,50.7565
2022-11-29,50.6379
2022-11-28,50.4320
2022-11-25,51.4860
2022-11-23,52.0739
2022-11-22,52.2480
2022-11-21,51.3826
2022-11-18,52.0195
2022-11-17,52.3077
2022-11-16,53.6042
2022-11-15,54.2028
2022-11-14,56.7959
2022-11-11,56.8262
2022-11-10,55.7236
2022-11-09,55.0961
2022-11-08,53.7134
2022-11-07,53.3626
2022-11-04,53.0715
2022-11-03,49.8247
2022-11-02,52.5052
2022-11-01,53.6663
2022-10-31,52.8244
2022-10-28,53.2303
2022-10-27,53.5717
2022-10-26,53.5109
2022-10-25,52.0905
2022-10-24,51.9772
2022-10-21,50.5501
2022-10-20,50.8191
2022-10-19,49.8937
2022-10-18,50.5119
2022-10-17,49.3367
2022-10-14,50.9202
2022-10-13,48.4158
2022-10-12,52.6575
2022-10-11,52.9364
2022-10-10,52.8701
2022-10-07,53.2506
2022-10-06,53.0142
2022-10-05,53.7859
2022-10-04,54.3653
2022-10-03,52.7881
2022-09-30,51.9168
2022-09-29,53.2768
2022-09-28,52.4909
2022-09-27,53.0297
2022-09-26,52.5265
2022-09-23,52.3221
2022-09-22,55.4869
2022-09-21,55.7192
2022-09-20,56.0714
2022-09-19,54.8150
2022-09-16,54.7499
2022-09-15,57.6398
2022-09-14,56.9903
2022-09-13,55.9067
2022-09-12,57.9067
2022-09-09,57.3216
2022-09-08,55.3621
2022-09-07,53.8416
2022-09-06,54.4087
2022-09-02,53.6576
2022-09-01,53.8605
2022-08-31,55.0762
2022-08-30,57.1756
2022-08-29,56.7211
2022-08-26,58.7853
2022-08-25,58.1611
2022-08-24,57.1684
2022-08-23,56.6492
2022-08-22,55.1219
2022-08-19,56.8296
2022-08-18,57.3060
2022-08-17,56.9006
2022-08-16,58.1737
2022-08-15,57.3628
2022-08-12,56.2017
2022-08-11,55.7177
2022-08-10,54.0448
2022-08-09,53.3355
2022-08-08,53.1910
2022-08-05,51.6641
2022-08-04,53.7955
2022-08-03,53.7686
2022-08-02,52.8251
2022-08-01,53.3606
2022-07-29,52.8232
2022-07-28,52.6340
2022-07-27,51.4460
2022-07-26,51.4364
2022-07-25,50.5187
2022-07-22,51.4359
2022-07-21,50.2601
2022-07-20,49.4503
2022-07-19,48.5986
