Date,SMA_20avg,SMA_60avg,RSI_20,RSI_60,Upper_20,Middle_20,Lower_20,Upper_60,Middle_60,Lower_60
2023-01-03,236.4172,262.2730,32.7665,44.3314,270.7782,236.4172,202.0562,313.3669,262.2730,211.1791
2023-01-04,234.3734,261.4713,38.1935,45.6691,267.0958,234.3734,201.6509,313.5684,261.4713,209.3742
2023-01-05,232.4420,260.4957,36.4976,45.0668,264.5284,232.4420,200.3555,313.7012,260.4957,207.2902
2023-01-06,230.6796,259.6545,38.2604,45.5132,261.4589,230.6796,199.9004,313.8049,259.6545,205.5042
2023-01-09,229.1125,259.2077,39.6343,45.8617,258.2424,229.1125,199.9826,314.1419,259.2077,204.2735
2023-01-10,227.6780,258.6842,39.5950,45.8491,255.1959,227.6780,200.1600,314.4219,258.6842,202.9464
2023-01-11,226.5687,258.6756,46.6451,47.7040,250.9163,226.5687,202.2211,314.4280,258.6756,202.9231
2023-01-12,225.6629,258.6026,49.8796,48.6438,246.1128,225.6629,205.2130,314.4351,258.6026,202.7702
2023-01-13,225.4039,258.4534,49.4149,48.5131,244.9611,225.4039,205.8467,314.4340,258.4534,202.4729
2023-01-17,225.5313,258.2383,49.8366,48.6334,245.4570,225.5313,205.6057,314.3858,258.2383,202.0908
2023-01-18,225.5779,258.0537,50.2162,48.7392,245.6501,225.5779,205.5058,314.3439,258.0537,201.7635
2023-01-19,225.8640,257.5504,47.7713,48.0919,246.4154,225.8640,205.3126,314.0410,257.5504,201.0597
2023-01-20,226.6072,257.1928,52.6270,49.4571,248.9230,226.6072,204.2914,313.6899,257.1928,200.6957
2023-01-23,227.9958,256.8569,57.9565,51.1495,254.2562,227.9958,201.7354,313.0800,256.8569,200.6337
2023-01-24,229.9100,256.5743,59.5151,51.6844,260.0422,229.9100,199.7778,312.5131,256.5743,200.6355
2023-01-25,232.0924,256.3970,61.9191,52.5393,266.5150,232.0924,197.6698,312.1132,256.3970,200.6808
2023-01-26,235.3293,256.3929,64.8328,53.6449,273.6693,235.3293,196.9893,312.1029,256.3929,200.6829
2023-01-27,238.6847,256.4310,65.5758,53.9373,279.9831,238.6847,197.3862,312.2007,256.4310,200.6614
2023-01-30,241.3871,256.3226,59.8631,52.4923,283.3657,241.3871,199.4085,311.9633,256.3226,200.6819
2023-01-31,244.5893,256.5765,63.1487,53.7183,287.7890,244.5893,201.3896,312.4905,256.5765,200.6626
2023-02-01,248.1291,256.7714,64.5828,54.2821,291.8907,248.1291,204.3676,312.9768,256.7714,200.5660
2023-02-02,251.4300,256.8644,65.9163,54.8167,296.6483,251.4300,206.2117,313.2554,256.8644,200.4734
2023-02-03,254.8320,256.8844,64.1690,54.3725,299.3376,254.8320,210.3264,313.3141,256.8844,200.4547
2023-02-06,257.5672,256.4101,58.3583,52.8191,299.7812,257.5672,215.3531,311.7519,256.4101,201.0683
2023-02-07,260.3108,256.0747,59.3002,53.1496,300.0068,260.3108,220.6147,310.6646,256.0747,201.4847
2023-02-08,262.5046,255.2138,53.6502,51.5261,298.1318,262.5046,226.8773,307.4792,255.2138,202.9483
2023-02-09,264.0330,254.2643,53.2872,51.4177,297.2768,264.0330,230.7892,303.6239,254.2643,204.9046
2023-02-10,265.2764,253.4786,53.6778,51.5405,296.8210,265.2764,233.7318,300.5091,253.4786,206.4481
2023-02-13,266.6497,253.0581,54.4092,51.7666,296.0214,266.6497,237.2780,299.1131,253.0581,207.0031
2023-02-14,268.0195,252.8003,54.7622,51.8738,294.9339,268.0195,241.1052,298.3325,252.8003,207.2681
2023-02-15,269.4568,252.7308,55.7412,52.1672,293.5233,269.4568,245.3903,298.1420,252.7308,207.3197
2023-02-16,271.7626,252.8811,61.1715,53.9209,291.4143,271.7626,252.1109,298.6337,252.8811,207.1285
2023-02-17,272.2346,252.4778,47.8676,49.9158,289.7649,272.2346,254.7043,297.6895,252.4778,207.2661
2023-02-21,271.3085,251.8058,42.2456,47.8162,293.0967,271.3085,249.5203,296.5433,251.8058,207.0682
2023-02-22,270.4092,251.1946,44.1763,48.4332,294.9168,270.4092,245.9015,295.3157,251.1946,207.0735
2023-02-23,269.5599,250.8885,47.2364,49.4354,295.3887,269.5599,243.7311,294.7355,250.8885,207.0414
2023-02-24,268.0760,250.6215,45.6936,48.8702,295.3727,268.0760,240.7793,294.3548,250.6215,206.8882
2023-02-27,266.8515,250.4140,48.7457,49.8795,294.2147,266.8515,239.4882,293.9465,250.4140,206.8815
2023-02-28,265.9755,250.0302,47.7255,49.5203,294.0334,265.9755,237.9175,293.0857,250.0302,206.9747
2023-03-01,264.5471,249.6633,47.0863,49.2979,292.7014,264.5471,236.3928,292.3196,249.6633,207.0071
2023-03-02,262.7862,249.1108,46.2047,48.9949,290.3830,262.7862,235.1893,290.9588,249.1108,207.2628
2023-03-03,261.2602,249.0212,50.1155,50.2321,286.4486,261.2602,236.0718,290.7765,249.0212,207.2658
2023-03-06,259.7560,249.0100,49.0794,49.8926,282.6280,259.7560,236.8840,290.7588,249.0100,207.2611
2023-03-07,258.3723,248.8730,45.8638,48.8117,280.8615,258.3723,235.8831,290.5961,248.8730,207.1499
2023-03-08,257.0788,248.8340,47.8230,49.4184,278.0643,257.0788,236.0934,290.5443,248.8340,207.1237
2023-03-09,255.5221,248.5682,41.7853,47.2578,278.2141,255.5221,232.8301,290.4306,248.5682,206.7058
2023-03-10,253.4270,248.0096,38.2093,45.8231,279.6474,253.4270,227.2066,290.3129,248.0096,205.7063
2023-03-13,251.1811,247.3735,37.5857,45.5640,280.2424,251.1811,222.1199,290.1257,247.3735,204.6212
2023-03-14,248.9715,247.0084,38.7510,45.9084,279.3778,248.9715,218.5651,290.1951,247.0084,203.8216
2023-03-15,246.1803,246.5770,35.5226,44.5818,279.0827,246.1803,213.2779,290.6051,246.5770,202.5489
2023-03-16,243.3157,246.1168,35.8358,44.6723,277.2164,243.3157,209.4150,290.9466,246.1168,201.2870
2023-03-17,239.5111,245.7126,34.0841,43.9389,271.6865,239.5111,207.3356,291.4944,245.7126,199.9307
2023-03-20,237.3092,245.3836,36.5948,44.6501,270.7202,237.3092,203.8982,291.8469,245.3836,198.9204
2023-03-21,236.3863,245.2302,41.4448,46.0870,270.4713,236.3863,202.3014,291.9470,245.2302,198.5134
2023-03-22,234.9021,245.0738,39.2308,45.2497,270.0369,234.9021,199.7674,292.1346,245.0738,198.0129
2023-03-23,233.0277,244.8933,39.0793,45.1921,268.3764,233.0277,197.6790,292.3414,244.8933,197.4453
2023-03-24,231.4748,244.9600,40.1911,45.5144,266.8885,231.4748,196.0610,292.2359,244.9600,197.6842
2023-03-27,229.6041,245.0468,40.7679,45.6791,263.8140,229.6041,195.3942,292.1007,245.0468,197.9928
2023-03-28,227.8321,245.0649,40.4963,45.5866,260.8353,227.8321,194.8289,292.0743,245.0649,198.0555
2023-03-29,226.4557,245.1974,43.9363,46.5504,257.8172,226.4557,195.0942,291.9113,245.1974,198.4835
2023-03-30,225.0911,245.3355,43.0954,46.2831,254.8737,225.0911,195.3085,291.7119,245.3355,198.9590
2023-03-31,223.2112,245.3005,42.5020,46.0965,249.1542,223.2112,197.2682,291.7514,245.3005,198.8495
2023-04-03,221.3246,245.3042,41.3837,45.7469,242.9584,221.3246,199.6909,291.7459,245.3042,198.8625
2023-04-04,219.3941,245.1112,37.8273,44.5797,238.3120,219.3941,200.4762,292.0693,245.1112,198.1531
2023-04-05,216.6092,244.6663,33.4370,42.9617,232.1252,216.6092,201.0933,292.9743,244.6663,196.3583
2023-04-06,214.5415,244.1894,32.8043,42.7128,230.8396,214.5415,198.2433,293.9265,244.1894,194.4522
2023-04-10,213.3052,243.5884,36.0302,43.5547,230.5068,213.3052,196.1035,294.6308,243.5884,192.5460
2023-04-11,212.2688,242.9088,37.1971,43.8632,229.9567,212.2688,194.5809,295.1348,242.9088,190.6827
2023-04-12,211.1144,242.2452,37.1934,43.8619,228.7450,211.1144,193.4839,295.5927,242.2452,188.8977
2023-04-13,210.5685,241.5894,38.0611,44.0810,228.6531,210.5685,192.4839,295.9392,241.5894,187.2396
2023-04-14,210.0415,240.9380,38.7344,44.2482,228.4018,210.0415,191.6812,296.1944,240.9380,185.6815
2023-04-17,209.9129,240.3955,40.0509,44.5717,228.3891,209.9129,191.4366,296.4261,240.3955,184.3649
2023-04-18,209.5190,239.6876,39.7527,44.4846,228.1535,209.5190,190.8845,296.4658,239.6876,182.9094
2023-04-19,208.5678,238.7542,39.0294,44.2767,226.6000,208.5678,190.5356,296.1072,238.7542,181.4012
2023-04-20,207.4224,237.5779,34.2985,42.8112,226.6276,207.4224,188.2172,295.8346,237.5779,179.3212
2023-04-21,205.3418,235.9765,27.8963,40.3672,229.5241,205.3418,181.1594,295.9808,235.9765,175.9722
2023-04-24,203.6614,234.4041,34.6854,42.1441,229.1836,203.6614,178.1393,294.9587,234.4041,173.8494
2023-04-25,201.5644,232.6733,32.3901,41.2503,229.0334,201.5644,174.0954,293.9240,232.6733,171.4226
2023-04-26,199.7286,231.1787,35.1974,42.0279,227.8020,199.7286,171.6552,293.1170,231.1787,169.2404
2023-04-27,197.8183,229.6071,38.0597,42.8412,224.4673,197.8183,171.1693,291.3901,229.6071,167.8240
2023-04-28,195.9815,227.9529,37.8617,42.7726,221.0090,195.9815,170.9541,289.1897,227.9529,166.7162
2023-05-01,193.8075,226.0930,34.9577,41.7408,217.7899,193.8075,169.8250,286.7346,226.0930,165.4513
2023-05-02,191.5709,224.2172,33.6730,41.2626,214.8217,191.5709,168.3201,284.4400,224.2172,163.9943
2023-05-03,189.7500,222.5055,33.5089,41.2018,213.2141,189.7500,166.2859,282.7559,222.5055,162.2550
2023-05-04,188.7039,220.7973,35.3633,41.6903,212.9187,188.7039,164.4892,280.5830,220.7973,161.0116
2023-05-05,187.9599,219.3412,38.0513,42.4095,212.4653,187.9599,163.4545,278.9191,219.3412,159.7632
2023-05-08,187.2675,217.9999,41.9303,43.4910,211.3209,187.2675,163.2141,277.0150,217.9999,158.9847
2023-05-09,186.9426,216.7975,47.1653,45.0681,210.4483,186.9426,163.4369,274.7807,216.7975,158.8143
2023-05-10,186.5855,215.5571,46.8494,44.9775,209.4734,186.5855,163.6976,272.3071,215.5571,158.8072
2023-05-11,186.3625,214.3704,49.0323,45.6532,208.7394,186.3625,163.9856,269.6075,214.3704,159.1333
2023-05-12,185.9547,213.1040,47.6305,45.2683,207.4075,185.9547,164.5019,266.5936,213.1040,159.6144
2023-05-15,185.8479,211.7573,51.8551,46.6031,206.9480,185.8479,164.7479,262.0952,211.7573,161.4194
2023-05-16,185.8678,210.8987,52.8214,46.9207,207.0365,185.8678,164.6991,259.9412,210.8987,161.8561
2023-05-17,186.0769,210.3437,53.9958,47.3058,207.9664,186.0769,164.1874,258.8105,210.3437,161.8769
2023-05-18,186.9258,209.7501,55.0865,47.6636,210.8549,186.9258,162.9966,257.4012,209.7501,162.0990
2023-05-19,188.4357,208.9351,51.5055,46.7639,212.3701,188.4357,164.5013,255.3446,208.9351,162.5255
2023-05-22,189.5553,208.2305,52.7733,47.1618,214.3976,189.5553,164.7130,253.5530,208.2305,162.9079
2023-05-23,191.5127,207.5604,57.5327,48.7483,217.7451,191.5127,165.2804,251.2663,207.5604,163.8545
2023-05-24,193.0540,206.8715,55.1838,48.1583,220.0123,193.0540,166.0956,249.0191,206.8715,164.7240
2023-05-25,193.9962,206.0901,51.0369,47.0630,221.0478,193.9962,166.9446,246.6827,206.0901,165.4975
2023-05-26,194.9166,205.3297,50.4977,46.9165,221.8293,194.9166,168.0039,244.4151,205.3297,166.2443
2023-05-30,196.1380,204.3856,49.3059,46.5960,221.7075,196.1380,170.5685,241.0793,204.3856,167.6918
2023-05-31,197.1378,203.3444,44.9398,45.3634,220.3485,197.1378,173.9272,237.7395,203.3444,168.9494
2023-06-01,198.2619,202.4687,46.1510,45.7158,218.4267,198.2619,178.0970,235.0202,202.4687,169.9171
2023-06-02,199.8866,201.7332,53.0802,47.8954,217.1565,199.8866,182.6166,231.7511,201.7332,171.7153
2023-06-05,201.2013,201.2342,51.8798,47.5636,215.5126,201.2013,186.8900,230.0100,201.2342,172.4585
2023-06-06,202.5538,201.0421,55.2553,48.7086,215.3901,202.5538,189.7175,229.3786,201.0421,172.7057
2023-06-07,203.7285,200.9800,57.8180,49.6289,217.4448,203.7285,190.0122,229.1560,200.9800,172.8039
2023-06-08,204.9757,200.8919,58.1713,49.7574,219.1727,204.9757,190.7787,228.8183,200.8919,172.9655
2023-06-09,206.0674,200.9995,58.5731,49.9003,221.0440,206.0674,191.0909,229.1541,200.9995,172.8449
2023-06-12,207.1979,201.0647,57.2895,49.5825,221.9213,207.1979,192.4745,229.3498,201.0647,172.7796
2023-06-13,208.4446,201.4018,61.9282,51.2502,225.3883,208.4446,191.5009,230.4393,201.4018,172.3643
2023-06-14,209.4942,201.6270,60.5505,50.9094,227.8271,209.4942,191.1612,231.1880,201.6270,172.0659
2023-06-15,210.6524,201.7657,62.4833,51.6291,230.9352,210.6524,190.3697,231.7725,201.7657,171.7589
2023-06-16,211.5676,201.9719,60.5818,51.1649,233.0415,211.5676,190.0938,232.4966,201.9719,171.4473
2023-06-20,212.9818,202.2531,62.3639,51.8162,235.6522,212.9818,190.3115,233.5253,202.2531,170.9809
2023-06-21,214.1878,202.4682,61.0441,51.4988,237.6137,214.1878,190.7618,234.2977,202.4682,170.6386
2023-06-22,214.7004,202.5925,57.9700,50.7465,238.5879,214.7004,190.8129,234.7120,202.5925,170.4731
2023-06-23,215.1142,202.6323,54.1554,49.7641,239.0058,215.1142,191.2227,234.8274,202.6323,170.4372
