DATE,AISRSA
2010-01-01,2.461
2010-02-01,2.738
2010-03-01,2.37
2010-04-01,2.467
2010-05-01,2.446
2010-06-01,2.554
2010-07-01,2.539
2010-08-01,2.638
2010-09-01,2.657
2010-10-01,2.689
2010-11-01,2.696
2010-12-01,2.402
2011-01-01,2.437
2011-02-01,2.163
2011-03-01,1.989
2011-04-01,1.913
2011-05-01,2.138
2011-06-01,2.242
2011-07-01,2.209
2011-08-01,2.245
2011-09-01,2.13
2011-10-01,2.042
2011-11-01,2.146
2011-12-01,2.255
2012-01-01,2.094
2012-02-01,1.921
2012-03-01,1.978
2012-04-01,2.055
2012-05-01,2.18
2012-06-01,2.278
2012-07-01,2.446
2012-08-01,2.415
2012-09-01,2.347
2012-10-01,2.442
2012-11-01,2.378
2012-12-01,2.374
2013-01-01,2.269
2013-02-01,2.314
2013-03-01,2.423
2013-04-01,2.477
2013-05-01,2.568
2013-06-01,2.532
2013-07-01,2.459
2013-08-01,2.585
2013-09-01,2.590
2013-10-01,2.718
2013-11-01,2.704
2013-12-01,2.812
2014-01-01,2.918
2014-02-01,2.989
2014-03-01,2.791
2014-04-01,2.771
2014-05-01,2.629
2014-06-01,2.468
2014-07-01,2.645
2014-08-01,2.503
2014-09-01,2.613
2014-10-01,2.565
2014-11-01,2.575
2014-12-01,2.522
2015-01-01,2.687
2015-02-01,2.829
2015-03-01,2.618
2015-04-01,2.685
2015-05-01,2.595
2015-06-01,2.595
2015-07-01,2.578
2015-08-01,2.589
2015-09-01,2.633
2015-10-01,2.504
2015-11-01,2.539
2015-12-01,2.6
2016-01-01,2.494
2016-02-01,2.479
2016-03-01,2.635
2016-04-01,2.664
2016-05-01,2.591
2016-06-01,2.643
2016-07-01,2.644
2016-08-01,2.703
2016-09-01,2.675
2016-10-01,2.808
2016-11-01,2.834
2016-12-01,2.724
2017-01-01,2.998
2017-02-01,2.935
2017-03-01,3.011
2017-04-01,2.946
2017-05-01,3.051
2017-06-01,3.113
2017-07-01,2.937
2017-08-01,2.866
2017-09-01,2.502
2017-10-01,2.413
2017-11-01,2.508
2017-12-01,2.565
2018-01-01,2.603
2018-02-01,2.513
2018-03-01,2.618
2018-04-01,2.645
2018-05-01,2.603
2018-06-01,2.627
2018-07-01,2.565
2018-08-01,2.487
2018-09-01,2.36
2018-10-01,2.103
2018-11-01,2.247
2018-12-01,2.253
2019-01-01,2.245
2019-02-01,2.43
2019-03-01,2.153
2019-04-01,2.424
2019-05-01,2.249
2019-06-01,2.357
2019-07-01,2.353
2019-08-01,2.248
2019-09-01,2.265
2019-10-01,2.278
2019-11-01,2.123
2019-12-01,1.834
2020-01-01,1.988
2020-02-01,2.025
2020-03-01,3.027
2020-04-01,4.644
2020-05-01,2.817
2020-06-01,2.593
2020-07-01,2.276
2020-08-01,2.255
2020-09-01,2.156
2020-10-01,2.188
2020-11-01,2.139
2020-12-01,2.028
2021-01-01,2.096
2021-02-01,2.169
2021-03-01,1.574
2021-04-01,1.293
2021-05-01,1.031
2021-06-01,0.919
2021-07-01,0.695
2021-08-01,0.672
2021-09-01,0.558
2021-10-01,0.578
2021-11-01,0.466
2021-12-01,0.495
2022-01-01,0.435
2022-02-01,0.433
2022-03-01,0.465
2022-04-01,0.49
2022-05-01,0.5
2022-06-01,0.535
2022-07-01,0.507
2022-08-01,0.601
2022-09-01,0.666
2022-10-01,0.604
2022-11-01,0.618
2022-12-01,0.703
2023-01-01,0.632
2023-02-01,0.675
2023-03-01,0.69
2023-04-01,0.7
2023-05-01,0.721
2023-06-01,0.801
2023-07-01,0.753
2023-08-01,0.959
2023-09-01,1.071
2023-10-01,1.134
2023-11-01,1.312
