Date,SMA_20avg,SMA_60avg,RSI
2023-01-03,62.0520,65.3273,42.3709
2023-01-04,61.6699,65.1944,43.0090
2023-01-05,61.2824,65.0835,42.9187
2023-01-06,60.9507,64.9983,44.6557
2023-01-09,60.6640,64.9402,45.3292
2023-01-10,60.4565,64.8767,45.7386
2023-01-11,60.3365,64.8738,46.9349
2023-01-12,60.3074,64.8620,48.1676
2023-01-13,60.2845,64.8371,47.7794
2023-01-17,60.3135,64.8073,47.6636
2023-01-18,60.3617,64.7871,47.5757
2023-01-19,60.4361,64.7263,47.3095
2023-01-20,60.6238,64.7199,48.9399
2023-01-23,60.9188,64.7187,50.3175
2023-01-24,61.3479,64.7120,50.7728
2023-01-25,61.8442,64.7377,51.5108
2023-01-26,62.4285,64.8103,52.7029
2023-01-27,63.1197,64.9004,53.3509
2023-01-30,63.6726,64.9423,52.2034
2023-01-31,64.2720,65.0133,52.5252
2023-02-01,64.9848,65.0979,53.6924
2023-02-02,65.6520,65.1241,53.5519
2023-02-03,66.2375,65.1256,52.0922
2023-02-06,66.6587,65.0822,51.0952
2023-02-07,67.0567,65.0915,51.3582
2023-02-08,67.4244,65.0430,51.2701
2023-02-09,67.7234,64.9674,51.3395
2023-02-10,67.8788,64.9015,50.2628
2023-02-13,68.0971,64.8622,50.8383
2023-02-14,68.3233,64.8522,50.8383
2023-02-15,68.5653,64.8712,50.9990
2023-02-16,68.8034,64.8964,50.6288
2023-02-17,68.8069,64.8831,48.4194
2023-02-21,68.6322,64.8443,47.0231
2023-02-22,68.4084,64.7797,46.7295
2023-02-23,68.1560,64.7551,47.0742
2023-02-24,67.7630,64.7296,46.1479
2023-02-27,67.3631,64.6985,46.8110
2023-02-28,67.0403,64.6145,46.9334
2023-03-01,66.7147,64.5400,47.2683
2023-03-02,66.2865,64.4411,46.9117
2023-03-03,65.9504,64.4241,48.3985
2023-03-06,65.6832,64.4010,48.0744
2023-03-07,65.3783,64.3292,46.4763
2023-03-08,65.0625,64.2610,46.5925
2023-03-09,64.6794,64.1868,45.4576
2023-03-10,64.2418,64.1006,44.6969
2023-03-13,63.8567,64.0143,44.4945
2023-03-14,63.4360,63.9392,44.5040
2023-03-15,62.9302,63.8557,43.2149
2023-03-16,62.4530,63.7933,43.9634
2023-03-17,61.9551,63.7315,43.3231
2023-03-20,61.6358,63.6888,44.1788
2023-03-21,61.4809,63.6773,45.5868
2023-03-22,61.3176,63.6913,45.1544
2023-03-23,61.1518,63.7173,45.4831
2023-03-24,61.0305,63.7407,45.2310
2023-03-27,60.8795,63.7874,45.3849
2023-03-28,60.7558,63.8229,46.0497
2023-03-29,60.6949,63.8939,47.6007
2023-03-30,60.6647,63.9787,47.7581
2023-03-31,60.5741,64.0589,48.1955
2023-04-03,60.4910,64.1372,47.9782
2023-04-04,60.4356,64.1575,46.7270
2023-04-05,60.3494,64.1562,46.3147
2023-04-06,60.3182,64.1407,46.0114
2023-04-10,60.3870,64.1174,47.0016
2023-04-11,60.4949,64.0768,47.5057
2023-04-12,60.5430,64.0254,46.4685
2023-04-13,60.7261,63.9932,47.4505
2023-04-14,60.8919,63.9701,47.8647
2023-04-17,61.1320,63.9635,48.4792
2023-04-18,61.3507,63.9312,48.9193
2023-04-19,61.4715,63.8615,48.4798
2023-04-20,61.5215,63.7492,46.7107
2023-04-21,61.4626,63.5901,45.1530
2023-04-24,61.4636,63.4190,46.0335
2023-04-25,61.3428,63.1951,44.1700
2023-04-26,61.2250,63.0071,44.9095
2023-04-27,61.0973,62.8356,46.3079
2023-04-28,60.9563,62.6358,46.2256
2023-05-01,60.7474,62.4240,45.4858
2023-05-02,60.5360,62.2367,45.2403
2023-05-03,60.4009,62.0716,45.3203
2023-05-04,60.2930,61.9016,45.3812
2023-05-05,60.2791,61.7589,46.9234
2023-05-08,60.2277,61.6188,47.1697
2023-05-09,60.1406,61.4974,46.9923
2023-05-10,60.1549,61.3780,47.8401
2023-05-11,60.1406,61.2656,48.2657
2023-05-12,60.0683,61.1377,47.5861
2023-05-15,60.0485,61.0452,49.2554
2023-05-16,59.9802,60.9889,48.7722
2023-05-17,59.9658,60.9728,49.3648
2023-05-18,60.0435,60.9609,49.2414
2023-05-19,60.2079,60.9407,49.1452
2023-05-22,60.3692,60.9544,49.9697
2023-05-23,60.6063,60.9429,49.2169
2023-05-24,60.7701,60.9170,48.5123
2023-05-25,60.8310,60.8744,47.9103
2023-05-26,60.9137,60.8449,48.2627
2023-05-30,61.0216,60.7810,47.8848
2023-05-31,61.1112,60.7127,47.2387
2023-06-01,61.2196,60.6853,47.7311
2023-06-02,61.4260,60.6895,49.8423
2023-06-05,61.5368,60.7114,49.4540
2023-06-06,61.6819,60.7655,50.4012
2023-06-07,61.7992,60.8116,49.6364
2023-06-08,61.8898,60.8625,49.9514
2023-06-09,61.9685,60.9450,50.1458
2023-06-12,62.1051,61.0218,50.5874
2023-06-13,62.2174,61.1326,51.8091
2023-06-14,62.3402,61.2237,51.4775
2023-06-15,62.4976,61.3116,52.7764
2023-06-16,62.6634,61.4095,52.8156
2023-06-20,62.7866,61.4857,51.7663
2023-06-21,62.8307,61.5545,50.9407
2023-06-22,62.8846,61.6113,50.3364
2023-06-23,62.8980,61.6311,48.7376
2023-06-26,62.9544,61.6276,48.9927
2023-06-27,63.0445,61.6382,50.0667
2023-06-28,63.1455,61.6382,49.8887
2023-06-29,63.2924,61.6465,50.1619
2023-06-30,63.4870,61.7025,51.6441
2023-07-03,63.6715,61.7968,53.4582
2023-07-05,63.8689,61.8950,53.3137
2023-07-06,63.9602,61.9566,51.9945
2023-07-07,64.1492,62.0296,53.1825
2023-07-10,64.3605,62.1351,53.9110
2023-07-11,64.5729,62.2273,54.1116
2023-07-12,64.7819,62.3184,54.4573
2023-07-13,64.9698,62.4119,55.2008
2023-07-14,65.1282,62.4829,54.1632
2023-07-17,65.1965,62.5533,53.5828
2023-07-18,65.2783,62.6617,53.8882
2023-07-19,65.3867,62.7937,53.4040
2023-07-20,65.4875,62.8958,52.3561
2023-07-21,65.5520,63.0143,50.9203
2023-07-24,65.6936,63.1206,50.9308
2023-07-25,65.8587,63.2147,51.6792
2023-07-26,65.9917,63.3166,52.0666
2023-07-27,66.0456,63.4042,50.1227
2023-07-28,66.1673,63.5236,51.8069
2023-07-31,66.2492,63.6519,52.4320
2023-08-01,66.1733,63.7569,50.9681
2023-08-02,66.0173,63.8077,49.1686
2023-08-03,65.9409,63.8610,49.5847
2023-08-04,65.7854,63.9113,49.1956
2023-08-07,65.5620,63.9374,48.5734
2023-08-08,65.3102,63.9505,48.2075
2023-08-09,65.0113,63.9661,47.6098
2023-08-10,64.6686,63.9519,47.5082
2023-08-11,64.3106,63.9263,46.2933
2023-08-14,63.9257,63.8733,45.2717
2023-08-15,63.4604,63.8007,44.0385
2023-08-16,62.9803,63.7179,43.3782
2023-08-17,62.5448,63.6210,43.3598
2023-08-18,62.1410,63.5259,42.7523
2023-08-21,61.7741,63.4552,43.6644
2023-08-22,61.3430,63.3854,43.1240
2023-08-23,60.9234,63.3199,43.8550
2023-08-24,60.5604,63.2505,43.2706
2023-08-25,60.1209,63.1935,43.3697
2023-08-28,59.6626,63.1330,43.6696
2023-08-29,59.3870,63.0773,46.4692
2023-08-30,59.1789,63.0217,46.0893
2023-08-31,58.9445,62.9485,45.9586
2023-09-01,58.7360,62.8902,46.1259
2023-09-05,58.5811,62.8345,46.6895
2023-09-06,58.4018,62.7616,45.8081
2023-09-07,58.1982,62.6638,44.7175
2023-09-08,57.9613,62.5332,43.9586
2023-09-11,57.8287,62.4225,45.0546
2023-09-12,57.7473,62.2899,45.0345
2023-09-13,57.7056,62.1481,44.5187
2023-09-14,57.7319,62.0329,45.3302
2023-09-15,57.7448,61.9257,45.0314
2023-09-18,57.7751,61.8227,44.7110
2023-09-19,57.7369,61.7349,44.0630
2023-09-20,57.6798,61.6272,43.0952
2023-09-21,57.5119,61.4757,41.5204
2023-09-22,57.3952,61.3338,42.0620
2023-09-25,57.2731,61.1871,42.0330
2023-09-26,57.0893,61.0004,41.0742
2023-09-27,56.7949,60.7850,41.2106
2023-09-28,56.5764,60.5909,42.7598
2023-09-29,56.3733,60.4196,42.9989
2023-10-02,56.1135,60.2117,42.0076
2023-10-03,55.7580,59.9670,40.6172
2023-10-04,55.4600,59.7240,41.0386
2023-10-05,55.1487,59.4527,39.7882
2023-10-06,54.9054,59.1784,40.6061
2023-10-09,54.6069,58.9154,40.4015
2023-10-10,54.3889,58.6873,42.5431
2023-10-11,54.1938,58.4533,42.4946
2023-10-12,53.9822,58.2315,42.9184
2023-10-13,53.7364,58.0087,41.9554
2023-10-16,53.5130,57.8097,42.1440
2023-10-17,53.3392,57.6167,42.6448
2023-10-18,53.1053,57.3760,40.5512
2023-10-19,52.8689,57.1014,39.0421
2023-10-20,52.5809,56.8455,38.4958
2023-10-23,52.2710,56.5550,38.0914
2023-10-24,52.0729,56.2749,39.8018
2023-10-25,51.7998,55.9939,38.5791
2023-10-26,51.4452,55.7335,38.1648
2023-10-27,51.1026,55.4735,38.7383
2023-10-30,50.7986,55.2161,38.5479
2023-10-31,50.5518,54.9636,38.2782
2023-11-01,50.2658,54.7092,37.8612
2023-11-02,50.0846,54.4771,38.9325
2023-11-03,49.9361,54.2676,40.6574
2023-11-06,49.8194,54.0850,41.2202
2023-11-07,49.5905,53.9089,40.6048
2023-11-08,49.3397,53.7463,40.1522
2023-11-09,49.0318,53.5820,39.3957
2023-11-10,48.7602,53.4138,39.1697
2023-11-13,48.5005,53.2628,39.7045
2023-11-14,48.3098,53.1286,42.1018
2023-11-15,48.2512,53.0121,42.7463
2023-11-16,48.1851,52.8553,41.0124
2023-11-17,48.2070,52.7277,42.4902
2023-11-20,48.2850,52.6097,43.3262
2023-11-21,48.2696,52.4773,42.7233
2023-11-22,48.2924,52.2957,42.1179
2023-11-24,48.3401,52.1205,42.1309
2023-11-27,48.3098,51.9285,41.0502
2023-11-28,48.3177,51.7433,41.7766
2023-11-29,48.3292,51.5463,41.5494
2023-11-30,48.3495,51.3585,41.2641
2023-12-01,48.3634,51.1989,42.1129
2023-12-04,48.2418,51.0277,40.7167
2023-12-05,48.0516,50.8260,39.8395
2023-12-06,47.9542,50.6445,41.4562
2023-12-07,47.9254,50.4863,42.6098
2023-12-08,47.9468,50.3203,42.8414
2023-12-11,47.9607,50.1524,42.4542
2023-12-12,47.9220,49.9785,41.8009
2023-12-13,47.8564,49.8351,43.3902
2023-12-14,47.8336,49.7300,45.0779
2023-12-15,47.8857,49.6466,44.7563
2023-12-18,47.8663,49.5514,44.4539
2023-12-19,47.8584,49.4715,45.5636
2023-12-20,47.8082,49.3836,44.0745
2023-12-21,47.8455,49.3126,45.4466
2023-12-22,47.9165,49.2339,46.2724
